stock_ticker,org_name,org_base_country,managing_currency,traded_currency,exchange_name,ipo_date,market_capitalization,org_logo_url,share_outstanding,industry_type,org_phone_no,website_address,floating_share,stock_symbol,process_date,r_source,hash_id,current_price,price_change,day_high_price,day_low_price,opening_price,previous_close_price,quote_timestamp,trade_date,price_change_percent,r_target,open_gap,open_gap_percent,high_low_gap,high_low_gap_percent,high_current_gap,high_current_gap_percent,low_current_gap,low_current_gap_percent,close_price_6_days_ago,weekly_moving,weekly_moving_percentage
OC,Owens Corning,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2006-10-23,12418.548628391103,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/OC.png,80.53,Building,14192488000,https://www.owenscorning.com/,79.63,,20260816,AADP,001ba89caa37685a583a7cba78d28b4a,154.67,-1.18,156.56,153.395,154.96,155.85,2026-08-14 20:00:00,2026-08-14,-0.7571,cadp_finnhub,0.8899999999999864,0.5743417656169245,3.164999999999992,2.0633006290948153,1.8900000000000148,1.2219564233529547,1.2749999999999773,0.8243356824206228,153.8,0.8699999999999761,0.5656697009102575
ELAN,Elanco Animal Health Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2018-09-20,11051.635818328929,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ELAN.png,499.45,Pharmaceuticals,18773526261,https://www.elanco.com/,492.83,,20260816,AADP,0020fc70f64cffb0fb42f62144f0fcc8,23.67,1.16,23.69,22.67,22.75,22.51,2026-08-14 20:00:00,2026-08-14,5.1533,cadp_finnhub,-0.23999999999999844,-1.054945054945048,1.0199999999999996,4.499338332598144,0.019999999999999574,0.08449514152936025,1.0,4.224757076468102,22.28,1.3900000000000006,6.238779174147219
PSA,Public Storage,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1984-10-19,61238.67261983486,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950680574146.png,186.82,Real Estate,18182448080,https://www.publicstorage.com/,168.96,,20260816,AADP,002456881536c65aeb1d740e1a9eb803,325.93,-2.79,329.49,325.17,329.19,328.72,2026-08-14 20:00:00,2026-08-14,-0.8487,cadp_finnhub,-0.46999999999997044,-0.14277468938909763,4.319999999999993,1.328535842789923,3.5600000000000023,1.0922590740343026,0.7599999999999909,0.23317890344552233,325.71,0.22000000000002728,0.06754474839582061
PTCT,PTC Therapeutics Inc,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,2013-06-20,6118.511687756529,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PTCT.png,82.95,Biotechnology,13026365400,https://www.ptcbio.com/,77.18,,20260816,AADP,0071fc892288aa132e2dcba89d956096,71.7,-0.27,72.13,70.85,71.58,71.97,2026-08-14 20:00:00,2026-08-14,-0.3752,cadp_finnhub,0.39000000000000057,0.5448449287510486,1.2800000000000011,1.8066337332392397,0.4299999999999926,0.5997210599720957,0.8500000000000085,1.1854951185495237,,,
CHEF,Chefs' Warehouse Inc,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,2011-07-28,4495.728161196627,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CHEF.png,40.8,Retail,12038941345,https://www.chefswarehouse.com/,36.46,,20260816,AADP,0093420dd109a37c6152407fd8cd9fd6,109.08,-2.97,113.95,106.9305,110.77,112.05,2026-08-14 20:00:00,2026-08-14,-2.6506,cadp_finnhub,1.2800000000000011,1.1555475309199252,7.019500000000008,6.564544260056773,4.8700000000000045,4.464613127979469,2.1495000000000033,1.9705720572057237,,,
OHI,"Omega Healthcare Investors, Inc",US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1992-08-07,14684.01009547576,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959046566.png,299.11,Real Estate,14104271700,https://www.omegahealthcare.com/,302.41,,20260816,AADP,00c2dde0b198fc1e1d72439d45bdd900,46.53,0.52,46.7106,45.72,46.03,46.01,2026-08-14 20:00:00,2026-08-14,1.1302,cadp_finnhub,-0.020000000000003126,-0.04344992396263986,0.9906000000000006,2.1666666666666683,0.18059999999999832,0.3881366860090228,0.8100000000000023,1.7408123791102563,47.39,-0.8599999999999994,-1.8147288457480468
HII,Huntington Ingalls Industries Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2011-03-19,12786.00442345301,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/HII.png,39.4,Aerospace & Defense,13026587581,https://hii.com/,39.14,,20260816,AADP,00cd7910ad1cb19be283dd6f89d7c573,327.71,1.95,330.75,322.35,330.52,325.76,2026-08-14 20:00:00,2026-08-14,0.5986,cadp_finnhub,-4.759999999999991,-1.4401549074186104,8.399999999999977,2.605863192182403,3.0400000000000205,0.9276494461566692,5.359999999999957,1.6355924445393664,324.48,3.2299999999999613,0.9954388560157672
ARLO,Arlo Technologies Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2018-08-03,1654.1275493458304,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ARLO.png,108.61,Electrical Equipment,13026587581,https://www.arlo.com/en-us/,105.14,,20260816,AADP,011270d2d884e5d660b87786d745a572,14.33,-0.02,14.66,14.2,14.34,14.35,2026-08-14 20:00:00,2026-08-14,-0.1394,cadp_finnhub,0.009999999999999787,0.06973500697349921,0.46000000000000085,3.2394366197183158,0.33000000000000007,2.3028611304954647,0.13000000000000078,0.907187718073976,,,
SJM,J.M. Smucker Co,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1965-10-20,12842.783306832323,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SJM.png,106.88,Food Products,13306823000,https://www.jmsmucker.com/,104.46,,20260816,AADP,011c13e05b7a2751ad98e84eba8bcc92,121.39,0.76,121.5075,119.54,120.05,120.63,2026-08-14 20:00:00,2026-08-14,0.63,cadp_finnhub,0.5799999999999983,0.48313202832153135,1.967499999999987,1.6458925882549664,0.11749999999999261,0.09679545267319599,1.8499999999999943,1.5240135101738153,120.16,1.230000000000004,1.0236351531291643
KRG,Kite Realty Group Trust,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2004-08-11,5359.280437289404,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958998376.png,203.07,Real Estate,13175775600,https://kiterealty.com/,198.71,,20260816,AADP,013cabb331aec9c9cac163ef3f346717,26.45,-0.03,26.64,26.34,26.45,26.48,2026-08-14 20:00:00,2026-08-14,-0.1133,cadp_finnhub,0.030000000000001137,0.11342155009452226,0.3000000000000007,1.1389521640091143,0.19000000000000128,0.7183364839319519,0.10999999999999943,0.4158790170132304,26.75,-0.3000000000000007,-1.1214953271028065
